name,id,folderId,status
LIB_1710_FR_All_All_All_All_LAB_Welcome1,31304,7733,1
LIB_1710_PT_All_All_All_All_LAB_Welcome1,31305,7733,1
LIB_1710_CA(FR)_All_All_All_All_LAB_Welcome1,31306,7733,1
LIB_1710_ES_All_All_All_All_LAB_Welcome1,31307,7733,1
LIB_1710_IT_All_All_All_All_LAB_Welcome1,31308,7733,1
LIB_1710_DE_All_All_All_All_LAB_Welcome1,31309,7733,1
LIB_1710_JP_All_All_All_All_LAB_Welcome1,31311,7733,1
LIB_1710_KR_All_All_All_All_LAB_Welcome1,31313,7733,1
HBK_1710_CA(EN)_EME_All_All_All_All_Welcome1,31316,18005,1
HBK_1710_AP_EME_All_All_All_All_Welcome1,31317,18005,1
HBK_1710_ROW_EME_All_All_All_All_Welcome1,31318,18005,1
HBK_1710_IN_EME_All_All_All_All_Welcome1,31319,18005,1
HBK_1710_AU/NZ_EME_All_All_All_All_Welcome1,31320,18005,1
HBK_1710_CA(FR)_EME_All_All_All_All_Welcome1,31328,18005,1
GDE/MPL_1710_US_EME_All_All_All_All_Welcome2,31347,18006,1
BRO_1710_US_PWG_All_PRO_All_PRO_Welcome1,31349,18011,2
BRO/MPL_1710_US_PWG_All_PRO_All_PRO_Welcome2,31354,18012,0
GDE/MPL_1710_CA(EN)_EME_All_All_All_All_Welcome2,31357,18006,1
GDE/MPL_1710_AP_EME_All_All_All_All_Welcome2,31358,18006,1
GDE/MPL_1710_ROW_EME_All_All_All_All_Welcome2,31359,18006,1
GDE/MPL_1710_IN_EME_All_All_All_All_Welcome2,31360,18006,1
GDE/MPL_1710_AU/NZ_EME_All_All_All_All_Welcome2,31361,18006,1
GDE/MPL_1710_DE_EME_All_All_All_All_Welcome2,31362,18006,1
BRO_1710_IN_PWG_All_PRO_All_PRO_Welcome1,31377,18011,2
BRO_1710_AP_PWG_All_PRO_All_PRO_Welcome1,31378,18011,2
BRO_1710_CA(EN)_PWG_All_PRO_All_PRO_Welcome1,31379,18011,2
BRO_1710_AU/NZ_PWG_All_PRO_All_PRO_Welcome1,31380,18011,2
BRO_1710_ROW_PWG_All_PRO_All_PRO_Welcome1,31381,18011,2
GDE/MPL_1710_FR_EME_All_All_All_All_Welcome2,31384,18006,1
GDE/MPL_1710_CA(FR)_EME_All_All_All_All_Welcome2,31397,18006,1
GDE/MPL_1710_IT_EME_All_All_All_All_Welcome2,31399,18006,1
GDE/MPL_1710_NL_EME_All_All_All_All_Welcome2,31403,18006,1
GDE/MPL_1710_PT_EME_All_All_All_All_Welcome2,31404,18006,1
HBK_1710_PL_EME_All_All_All_All_Welcome1,31405,18005,1
GDE/MPL_1710_PL_EME_All_All_All_All_Welcome2,31406,18006,1
WPP_1802_PT_All_All_ANA_UV_LAB_Nurturing2,34206,18444,1
WPP_1802_JP_All_All_ANA_UV_LAB_Nurturing2,34207,18444,1
WPP_1802_DE_All_All_ANA_UV_LAB_Nurturing2,34208,18444,1
WPP_1802_ES_All_All_ANA_UV_LAB_Nurturing2,34209,18444,1
WPP_1802_VN_All_All_ANA_UV_LAB_Nurturing2,34210,18444,1
WPP_1802_HU_All_All_ANA_UV_LAB_Nurturing2,34211,18444,1
WPP_1802_CN_All_All_ANA_UV_LAB_Nurturing2,34212,18444,1
WPP_1802_KR_All_All_ANA_UV_LAB_Nurturing2,34213,18444,1
WPP_1802_CZ_All_All_ANA_UV_LAB_Nurturing2,34214,18444,1
WPP_1802_TH_All_All_ANA_UV_LAB_Nurturing2,34215,18444,1
WPP_1802_CA(EN)_All_All_ANA_UV_LAB_Nurturing2,34216,18444,1
ENQ_XXXX_JP_All_All_All_All_All_Dormant2,34224,17400,1
ENQ_XXXX_DE_All_All_All_All_All_Dormant1,34278,17399,1
ENQ_XXXX_DE_All_All_All_All_All_Dormant2,34279,17400,1
WPP_1802_ROW_All_All_ANA_UV_LAB_Nurturing2,34286,18444,1
WPP_1802_AP_All_All_ANA_UV_LAB_Nurturing2,34287,18444,1
WPP_1802_AU/NZ_All_All_ANA_UV_LAB_Nurturing2,34288,18444,1
WPP_1802_CA(FR)_All_All_ANA_UV_LAB_Nurturing2,34291,18444,1
RFP_1802_US_All_All_LWE_All_LAB_Nurturing2,34294,18472,1
RFP_1802_VN_All_All_LWE_All_LAB_Nurturing2,34295,18472,1
RFP_1802_ES_All_All_LWE_All_LAB_Nurturing2,34296,18472,1
RFP_1802_PL_All_All_LWE_All_LAB_Nurturing2,34297,18472,1
RFP_1802_FR_All_All_LWE_All_LAB_Nurturing2,34298,18472,1
RFP_1802_SK_All_All_LWE_All_LAB_Nurturing2,34299,18472,1
RFP_1802_CN_All_All_LWE_All_LAB_Nurturing2,34300,18472,1
RFP_1802_TR_All_All_LWE_All_LAB_Nurturing2,34301,18472,1
RFP_1802_CZ_All_All_LWE_All_LAB_Nurturing2,34302,18472,1
RFP_1802_IT_All_All_LWE_All_LAB_Nurturing2,34303,18472,1
RFP_1802_PT_All_All_LWE_All_LAB_Nurturing2,34304,18472,1
RFP_1802_DE_All_All_LWE_All_LAB_Nurturing2,34305,18472,1
RFP_1802_JP_All_All_LWE_All_LAB_Nurturing2,34306,18472,1
BRO_XXXX_US_MPE_All_IND_All_IND_Nurt1,34307,18469,1
RFP_1802_CA(EN)_All_All_LWE_All_LAB_Nurturing2,34308,18472,1
RFP_1802_ROW_All_All_LWE_All_LAB_Nurturing2,34310,18472,1
RFP_1802_AP_All_All_LWE_All_LAB_Nurturing2,34311,18472,1
RFP_1802_AU/NZ_All_All_LWE_All_LAB_Nurturing2,34312,18472,1
EMT_EMK_1401_IT_All_All_PI_All_All_All_App1,8192,18795,1
EMT_EMK_1401_DE_All_All_PI_All_All_All_App1,8193,18795,1
EMT_EMK_1401_ZH_All_All_PI_All_All_All_App1,8194,18795,1
EMT_EMK_1401_PL_All_All_PI_All_All_All_App1,8195,18795,1
EMT_EMK_1401_NL_All_All_PI_All_All_All_App1,8196,18795,1
EMT_EMK_1401_KR_All_All_PI_All_All_All_App1,8197,18795,1
GDE_1801_IT_CHE_LAB_ANA_TIT_LAB_ChemWT2LAB,33877,18368,1
GDE_1801_NL_CHE_LAB_ANA_TIT_LAB_ChemWT2LAB,33878,18368,1
GDE_1801_PT_CHE_LAB_ANA_TIT_LAB_ChemWT2LAB,33879,18368,1
GDE_1801_CN_CHE_LAB_ANA_TIT_LAB_ChemWT2LAB,33880,18368,1
GDE_1801_JP_CHE_LAB_ANA_TIT_LAB_ChemWT2LAB,33881,18368,1
GDE_1801_KR_CHE_LAB_ANA_TIT_LAB_ChemWT2LAB,33882,18368,1
WPP/MPL_1801_AP_CHE_All_All_All_IND/PRO/PI_ChemWT2,33884,13230,1
WPP/MPL_1801_AU/NZ_CHE_All_All_All_IND/PRO/PI_ChemWT2,33885,13230,1
WPP/MPL_1801_CA(EN)_CHE_All_All_All_IND/PRO/PI_ChemWT2,33886,13230,1
WPP/MPL_1801_ROW_CHE_All_All_All_IND/PRO/PI_ChemWT2,33887,13230,1
WPP/MPL_1801_FR_CHE_All_All_All_IND/PRO/PI_ChemWT2,33888,13230,1
WPP/MPL_1801_CA(FR)_CHE_All_All_All_IND/PRO/PI_ChemWT2,33889,13230,1
WPP/MPL_1801_DE_CHE_All_All_All_IND/PRO/PI_ChemWT2,33890,13230,1
WPP/MPL_1801_ES_CHE_All_All_All_IND/PRO/PI_ChemWT2,33891,13230,1
GDE_1801_PL_CHE_LAB_ANA_TIT_LAB_ChemWT2LAB,33893,18368,1
WPP/MPL_1801_IT_CHE_All_All_All_IND/PRO/PI_ChemWT2,33894,13230,1
WPP/MPL_1801_NL_CHE_All_All_All_IND/PRO/PI_ChemWT2,33895,13230,1
WPP/MPL_1801_PT_CHE_All_All_All_IND/PRO/PI_ChemWT2,33896,13230,1
WPP/MPL_1801_CN_CHE_All_All_All_IND/PRO/PI_ChemWT2,33897,13230,1
WPP/MPL_1801_JP_CHE_All_All_All_IND/PRO/PI_ChemWT2,33898,13230,1
WPP/MPL_1801_KR_CHE_All_All_All_IND/PRO/PI_ChemWT2,33899,13230,1
WPP/MPL_1801_PL_CHE_All_All_All_IND/PRO/PI_ChemWT2,33900,13230,1
MPL_1707_CA(FR)_All_All_ANA_All_LAB_WebsiteNurture,31034,10602,1
MPL_1707_CA(FR)_All_All_ACH_All_LAB_WebsiteNurture,31035,10601,1
MPL_1707_CA(FR)_All_All_LWE_All_LAB_WebsiteNurture,31036,10600,1
GDE/MPL_1710_CA(EN)_TRA_All_All_All_All_Welcome2,31500,18024,1
GDE/MPL_1710_AP_TRA_All_All_All_All_Welcome2,31501,18024,1
GDE/MPL_1710_ROW_TRA_All_All_All_All_Welcome2,31502,18024,1
GDE/MPL_1710_IN_TRA_All_All_All_All_Welcome2,31503,18024,1
GDE/MPL_1710_AU/NZ_TRA_All_All_All_All_Welcome2,31504,18024,1
GDE/MPL_1710_ES_TRA_All_All_All_All_Welcome2,31505,18024,1
